id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,adjusted_price
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,83263.0,1651330158305.0,1,1651330158305,37664579937,84074.0,80833.0,194.85,0.23456000000000002,5712964212.0,0.34716,19835987.0,19835987.0,21000000.0,108786.0,-23.46146,2025-01-20T09:11:54.494Z,67.81,122690.26431,2013-07-06T00:00:00.000Z,,2025-03-12T21:20:25.118Z,83263.0,99915.59999999999
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1902.92,229409823859.0,2,229409823859,23345329917,1948.94,1841.97,-43.348794086834914,-2.22727,-4971738794.984222,-2.12122,120609221.7240194,120609221.7240194,,4878.26,-60.99175,2021-11-10T14:24:19.604Z,0.432979,439395.79106,2015-10-20T00:00:00.000Z,"{'times': 29.56012471129072, 'currency': 'btc', 'percentage': 2956.012471129072}",2025-03-12T21:20:18.795Z,1902.92,2283.504
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999753,143145732272.0,3,143145732272,44824031347,0.9998729999999999,0.999559,2.8470000000000004e-05,0.00285,188233738.0,0.13167,143182152538.009,143182152538.009,,1.32,-24.43833,2018-07-24T00:00:00.000Z,0.572521,74.62292,2015-03-02T00:00:00.000Z,,2025-03-12T21:20:27.016Z,0.999753,1.1997035999999999
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.23,129649096487.0,4,223335722431,5400314349,2.25,2.14,0.02875834,1.30472,1851432150.0,1.44872,58043299826.0,99986368206.0,100000000000.0,3.4,-34.29542,2018-01-07T00:00:00.000Z,0.00268621,83026.04097,2014-05-22T00:00:00.000Z,,2025-03-12T21:20:25.145Z,2.23,2.6759999999999997
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,572.64,83502463849.0,5,83502463849,1095306679,572.38,545.09,16.25,2.92085,2415722066.0,2.97918,145887575.79,145887575.79,200000000.0,788.84,-27.67807,2024-12-04T10:35:25.220Z,0.0398177,1432697.34969,2017-10-19T00:00:00.000Z,,2025-03-12T21:20:26.747Z,572.64,687.168
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,126.33,64342640062.0,6,75284048763,4691286506,129.6,121.33,-0.920448065626402,-0.7233200000000001,-451679249.0944214,-0.6971,509413477.1574386,596038785.756942,,293.31,-57.10944,2025-01-19T11:15:27.957Z,0.5008009999999999,25020.37275,2020-05-11T19:35:23.449Z,,2025-03-12T21:20:24.460Z,126.33,151.596
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999826,58116735470.0,7,58261444249,12562922652,0.9999389999999999,0.999787,-3.9165499073346006e-05,-0.003920000000000001,-10730184.125160217,-0.01846,58125770415.4107,58270501690.91286,,1.17,-14.74423,2019-05-08T00:40:28.300Z,0.877647,13.91825,2023-03-11T08:02:13.981Z,,2025-03-12T21:20:19.935Z,0.999826,1.1997912
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.7329249999999999,26349423981.0,8,32975879435,1240866007,0.761257,0.7118979999999999,0.0022351100000000002,0.30589000000000005,113807911.0,0.43379,35957314844.72886,45000000000.0,45000000000.0,3.09,-76.30794,2021-09-02T06:00:10.474Z,0.01925275,3698.69325,2020-03-13T02:22:55.044Z,,2025-03-12T21:20:24.724Z,0.7329249999999999,0.8795099999999999
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.171627,25441950810.0,9,25448974915,1621262472,0.17232699999999998,0.159914,0.00452623,2.70868,683284428.0,2.75978,148360876383.7051,148401836383.7052,,0.731578,-76.54014,2021-05-08T05:08:23.458Z,8.69e-05,197391.11953,2015-05-06T00:00:00.000Z,,2025-03-12T21:20:18.851Z,0.171627,0.2059524
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.223829,21267612517.0,10,21267614324,898331497,0.226348,0.21973299999999998,-0.0015483742902970001,-0.68701,-130728148.22011948,-0.6109300000000001,95032685703.02155,95032693781.3724,,0.431288,-48.12389,2024-12-04T00:10:40.323Z,0.00180434,12299.84908,2017-11-12T00:00:00.000Z,"{'times': 116.80470248857968, 'currency': 'usd', 'percentage': 11680.470248857968}",2025-03-12T21:20:26.800Z,0.223829,0.26859479999999997
