date,produit,quantité,prix_unitaire,client_id
2023-04-30,Écran,1,1384.2,388
2023-05-27,Ordinateur,1,385.48,11
2023-02-02,Casque,2,503.75,115
2023-01-12,Casque,4,1081.87,303
2023-03-18,Smartphone,1,1289.64,417
2023-08-18,Clavier,3,1281.63,378
2023-06-21,Écran,4,1056.19,32
2023-08-24,Casque,1,856.21,86
2023-09-24,Ordinateur,1,307.74,95
2023-02-09,Souris,4,585.89,434
2023-04-21,Souris,2,494.0,45
2023-03-03,Clavier,2,357.69,395
2023-04-06,Souris,3,389.19,218
2023-07-08,Souris,2,1072.9,290
2023-02-12,Écran,2,1265.98,268
2023-09-07,Ordinateur,2,1114.15,306
2023-07-03,Casque,4,1387.74,348
2023-07-22,Imprimante,1,1396.53,178
2023-11-10,Smartphone,2,790.55,52
2023-10-01,Souris,1,1304.57,84
2023-02-12,Smartphone,2,187.02,228
2023-02-28,Imprimante,2,928.62,14
2023-02-24,Imprimante,1,51.5,37
2023-04-13,Clavier,4,1303.99,405
2023-10-13,Smartphone,4,203.39,150
2023-08-30,Ordinateur,4,1198.02,181
2023-08-17,Casque,3,71.66,358
2023-08-15,Imprimante,3,172.32,480
2023-06-17,Imprimante,3,34.56,149
2023-07-09,Ordinateur,2,636.68,20
2023-07-08,Casque,4,283.32,240
2023-07-08,Imprimante,3,571.47,238
2023-02-19,Clavier,2,1307.45,495
2023-11-13,Imprimante,4,377.29,221
2023-12-03,Souris,3,103.83,175
2023-03-07,Imprimante,2,919.41,257
2023-02-01,Smartphone,4,995.14,168
2023-03-21,Écran,3,161.34,308
2023-04-20,Ordinateur,1,248.33,313
2023-09-01,Smartphone,4,1079.88,215
2023-09-27,Écran,3,310.6,1
2023-05-17,Clavier,3,1066.33,404
2023-04-10,Clavier,1,1077.55,12
2023-07-31,Smartphone,3,50.12,350
2023-03-06,Clavier,3,615.86,332
2023-08-05,Clavier,4,466.76,55
2023-05-22,Ordinateur,1,1053.87,234
2023-12-27,Imprimante,2,1221.59,236
2023-09-29,Casque,3,926.65,490
2023-04-09,Imprimante,3,1158.91,105
2023-06-29,Clavier,1,976.33,341
2023-11-15,Smartphone,3,894.36,298
2023-11-17,Smartphone,4,987.39,13
2023-01-14,Clavier,3,463.44,60
2023-10-13,Souris,3,91.11,433
2023-03-18,Clavier,2,786.39,325
2023-05-01,Casque,1,1064.94,54
2023-04-06,Imprimante,3,1105.03,264
2023-02-20,Écran,3,686.77,345
2023-07-27,Casque,2,267.83,203
2023-11-04,Imprimante,1,12.43,122
2023-01-20,Écran,2,1085.31,290
2023-06-06,Souris,2,138.93,159
2023-01-04,Smartphone,1,1237.18,228
2023-08-25,Ordinateur,2,1362.39,475
2023-05-04,Clavier,1,676.96,408
2023-07-24,Écran,4,560.79,119
2023-09-10,Imprimante,2,864.4,139
2023-09-30,Clavier,3,1485.09,127
2023-11-24,Écran,3,1179.23,449
2023-07-01,Souris,4,124.01,116
2023-12-15,Clavier,1,1288.15,158
2023-01-04,Souris,2,1331.19,312
2023-08-25,Casque,3,305.93,474
2023-06-15,Souris,1,497.62,466
2023-05-19,Casque,1,720.24,201
2023-12-20,Clavier,2,803.18,117
2023-11-16,Souris,3,973.29,248
2023-02-08,Imprimante,1,907.1,53
2023-06-20,Clavier,1,1478.88,337
2023-08-03,Casque,1,432.44,268
2023-07-03,Casque,3,1024.77,376
2023-11-23,Imprimante,3,1486.48,268
2023-09-26,Ordinateur,2,1263.32,410
2023-12-06,Imprimante,4,768.49,156
2023-06-30,Écran,1,399.85,98
2023-05-06,Casque,4,1093.61,121
2023-07-06,Casque,2,1449.43,177
2023-01-06,Clavier,1,214.37,417
2023-09-30,Ordinateur,4,89.04,139
2023-09-07,Souris,2,1272.95,61
2023-07-23,Écran,3,201.6,478
2023-04-13,Écran,4,554.17,341
2023-09-06,Casque,1,195.5,302
2023-10-12,Ordinateur,2,1437.33,74
2023-01-26,Imprimante,3,181.13,100
2023-01-25,Smartphone,1,1207.21,445
2023-10-02,Écran,2,358.28,396
2023-02-02,Clavier,4,1056.87,43
2023-02-19,Smartphone,2,719.23,241
2023-03-16,Ordinateur,1,151.0,199
2023-11-21,Imprimante,3,547.35,180
2023-10-01,Clavier,3,288.4,481
2023-04-21,Casque,1,1498.88,21
2023-06-07,Ordinateur,2,243.01,392
2023-06-05,Clavier,1,982.82,298
2023-09-08,Clavier,2,1125.98,315
2023-11-17,Imprimante,3,473.38,68
2023-01-12,Souris,3,211.84,359
2023-08-04,Ordinateur,1,631.19,211
2023-08-23,Clavier,4,330.36,55
2023-03-19,Clavier,1,1033.72,244
2023-09-10,Ordinateur,2,1059.41,38
2023-04-08,Smartphone,2,231.97,175
2023-12-31,Imprimante,4,278.37,322
2023-04-03,Clavier,3,219.64,55
2023-05-09,Écran,4,1364.09,413
2023-08-11,Ordinateur,2,20.13,51
2023-04-29,Écran,3,1365.6,237
2023-10-24,Smartphone,4,366.49,131
2023-02-16,Clavier,2,744.89,152
2023-05-26,Écran,3,741.53,249
2023-08-12,Smartphone,1,786.31,486
2023-09-23,Écran,2,638.21,168
2023-07-02,Casque,1,332.44,435
2023-06-26,Smartphone,2,1009.73,281
2023-05-26,Clavier,2,387.96,17
2023-06-02,Casque,4,1471.24,429
2023-09-17,Ordinateur,4,826.07,329
2023-05-14,Clavier,4,993.25,217
2023-09-21,Écran,4,335.78,72
2023-09-06,Écran,1,990.23,434
2023-11-17,Imprimante,2,751.26,341
2023-08-19,Smartphone,4,224.52,329
2023-10-31,Casque,3,870.64,302
2023-03-10,Clavier,2,164.94,400
2023-07-24,Écran,4,868.82,175
2023-06-30,Souris,4,595.63,376
2023-02-15,Smartphone,3,1095.06,122
2023-10-16,Souris,1,1423.75,218
2023-06-11,Clavier,2,633.36,106
2023-02-13,Smartphone,1,74.21,36
2023-10-24,Écran,4,1305.5,380
2023-01-01,Smartphone,2,315.15,28
2023-04-23,Souris,3,385.39,239
2023-10-12,Ordinateur,1,1456.23,71
2023-02-11,Smartphone,1,849.92,160
2023-09-24,Casque,3,1258.42,498
2023-08-11,Smartphone,1,980.11,491
2023-11-02,Clavier,3,22.99,54
2023-03-10,Ordinateur,1,172.79,161
2023-09-06,Imprimante,4,904.78,371
2023-07-24,Ordinateur,4,499.21,278
2023-03-14,Écran,4,81.48,356
2023-12-28,Casque,4,164.29,86
2023-09-20,Imprimante,4,1148.6,257
2023-10-03,Imprimante,3,1213.07,487
2023-09-19,Smartphone,1,1156.16,192
2023-08-11,Imprimante,4,1264.92,468
2023-09-19,Ordinateur,3,1327.49,448
2023-10-21,Ordinateur,3,545.95,402
2023-04-13,Smartphone,3,696.68,459
2023-08-25,Smartphone,1,763.92,66
2023-05-27,Ordinateur,1,602.68,5
2023-11-17,Clavier,3,807.25,384
2023-01-01,Casque,1,772.68,52
2023-05-14,Souris,1,82.56,238
2023-03-15,Clavier,4,931.64,293
2023-08-01,Souris,4,928.71,103
2023-11-19,Écran,4,850.3,7
2023-05-30,Smartphone,2,690.16,417
2023-09-08,Écran,1,374.94,210
2023-09-09,Casque,2,986.27,145
2023-04-24,Imprimante,4,158.86,285
2023-10-31,Imprimante,2,1437.14,46
2023-05-20,Écran,2,133.8,34
2023-04-17,Ordinateur,1,1333.41,147
2023-12-09,Casque,1,1499.57,263
2023-03-29,Imprimante,1,605.6,33
2023-06-24,Clavier,3,46.18,346
2023-10-11,Imprimante,3,556.14,124
2023-09-16,Souris,1,1095.79,384
2023-11-12,Casque,4,525.05,135
2023-03-11,Ordinateur,2,990.11,458
2023-06-01,Clavier,2,234.52,91
2023-02-24,Clavier,1,453.64,37
2023-03-28,Smartphone,3,805.87,31
2023-01-01,Clavier,2,1220.0,247
2023-06-20,Souris,1,1041.7,265
2023-10-10,Smartphone,1,1412.34,330
2023-08-07,Smartphone,2,1363.74,73
2023-09-07,Imprimante,3,1357.18,111
2023-10-18,Clavier,4,207.4,28
2023-10-15,Imprimante,2,614.62,264
2023-12-01,Imprimante,4,568.31,227
2023-11-12,Imprimante,4,1206.07,323
2023-09-14,Écran,3,423.75,116
2023-07-23,Souris,3,50.8,421
2023-02-11,Souris,2,1334.95,74
2023-07-04,Ordinateur,4,1056.27,428
2023-01-29,Clavier,4,1460.11,8
2023-01-07,Souris,3,968.99,159
2023-03-21,Imprimante,1,1109.88,156
2023-02-14,Imprimante,3,607.86,287
2023-04-18,Imprimante,3,929.29,73
2023-01-11,Imprimante,3,993.77,244
2023-09-12,Casque,4,37.84,288
2023-11-17,Smartphone,1,767.7,233
2023-04-22,Imprimante,3,991.65,243
2023-09-24,Imprimante,3,1464.68,214
2023-05-09,Clavier,4,300.84,41
2023-01-05,Casque,3,983.0,349
2023-11-02,Smartphone,3,879.35,67
2023-09-16,Ordinateur,4,1089.3,128
2023-02-18,Smartphone,4,621.9,330
2023-03-13,Clavier,3,1339.66,347
2023-11-20,Souris,3,354.43,446
2023-08-29,Écran,4,124.19,305
2023-01-13,Clavier,1,1483.29,6
2023-12-28,Souris,3,238.99,491
2023-10-16,Écran,3,1176.71,149
2023-11-05,Écran,1,794.63,478
2023-01-27,Ordinateur,1,752.01,44
2023-06-23,Smartphone,4,664.69,150
2023-07-16,Casque,2,997.46,228
2023-06-26,Souris,4,857.34,348
2023-12-02,Écran,2,528.71,206
2023-12-27,Smartphone,3,296.56,417
2023-03-06,Écran,2,676.89,146
2023-09-25,Smartphone,4,1312.72,189
2023-06-30,Casque,2,1009.64,283
2023-10-08,Smartphone,2,427.68,334
2023-04-02,Ordinateur,3,855.55,259
2023-04-20,Écran,3,1229.76,341
2023-08-05,Casque,1,497.02,170
2023-12-09,Clavier,1,663.28,483
2023-08-02,Ordinateur,4,450.76,425
2023-09-04,Smartphone,3,1368.62,5
2023-10-27,Imprimante,4,1417.97,248
2023-06-19,Écran,3,453.24,492
2023-09-26,Casque,2,626.66,13
2023-02-26,Souris,4,999.43,496
2023-11-06,Casque,4,1353.89,146
2023-06-03,Imprimante,2,495.89,59
2023-11-14,Souris,4,294.86,245
2023-10-27,Casque,2,763.79,30
2023-03-21,Souris,2,486.02,498
2023-01-16,Ordinateur,3,556.44,105
2023-06-06,Souris,1,1069.62,333
2023-08-07,Ordinateur,4,587.99,201
2023-08-29,Imprimante,2,452.69,166
2023-01-26,Clavier,4,905.67,306
2023-07-07,Souris,2,798.31,451
2023-07-08,Ordinateur,1,652.76,394
2023-08-08,Clavier,1,205.51,144
2023-05-17,Écran,3,1001.05,52
2023-09-08,Ordinateur,3,828.71,251
2023-12-08,Imprimante,3,162.61,486
2023-04-06,Souris,1,743.78,478
2023-05-12,Clavier,1,1313.33,444
2023-08-27,Clavier,3,576.57,330
2023-04-20,Imprimante,2,1360.36,252
2023-04-24,Écran,2,1093.19,389
2023-05-02,Imprimante,1,56.62,260
2023-07-04,Smartphone,1,293.31,472
2023-02-22,Smartphone,4,37.19,78
2023-06-20,Casque,4,517.51,341
2023-11-12,Casque,1,823.81,168
2023-12-27,Ordinateur,2,1054.75,473
2023-04-06,Smartphone,1,749.56,472
2023-03-15,Écran,3,1280.75,400
2023-05-10,Casque,1,623.01,406
2023-02-15,Ordinateur,1,816.59,158
2023-08-29,Casque,1,1403.17,334
2023-06-17,Écran,2,1238.62,436
2023-05-21,Smartphone,1,1303.45,495
2023-10-15,Clavier,2,1154.21,16
2023-07-18,Imprimante,4,177.92,101
2023-12-31,Écran,2,187.29,449
2023-12-30,Smartphone,2,1071.32,425
2023-05-25,Écran,4,833.46,267
2023-10-26,Smartphone,3,303.74,172
2023-05-18,Imprimante,3,165.2,184
2023-05-03,Smartphone,3,43.68,432
2023-07-13,Ordinateur,3,915.71,261
2023-03-18,Imprimante,3,799.74,450
2023-12-06,Clavier,4,889.69,487
2023-04-08,Clavier,2,532.28,463
2023-02-16,Souris,4,912.38,298
2023-04-07,Souris,3,57.99,325
2023-03-20,Smartphone,1,77.62,128
2023-10-12,Souris,3,309.85,5
2023-10-30,Casque,2,837.93,13
2023-03-01,Smartphone,4,19.52,325
2023-02-08,Souris,1,1309.72,37
2023-06-22,Casque,4,200.77,191
2023-04-09,Souris,3,1109.24,391
2023-11-17,Casque,2,520.12,323
2023-07-13,Casque,1,628.18,301
2023-04-05,Smartphone,1,1350.91,76
2023-07-19,Souris,3,767.32,421
2023-10-19,Imprimante,1,313.96,320
2023-07-29,Clavier,2,966.52,427
2023-01-06,Clavier,3,440.49,386
2023-05-31,Écran,1,1153.33,236
2023-04-18,Écran,4,849.97,452
2023-02-18,Souris,2,1464.44,316
2023-02-14,Smartphone,3,609.66,314
2023-04-01,Écran,2,1055.84,290
2023-04-22,Écran,3,1289.6,32
2023-01-25,Ordinateur,2,801.42,368
2023-12-04,Smartphone,1,424.64,442
2023-07-05,Souris,1,1439.92,140
2023-09-25,Smartphone,3,749.15,312
2023-02-20,Imprimante,3,61.42,182
2023-07-04,Ordinateur,4,712.95,187
2023-03-06,Clavier,4,634.27,330
2023-01-23,Smartphone,1,1426.05,117
2023-05-25,Écran,3,12.02,452
2023-01-08,Casque,1,464.33,155
2023-12-09,Casque,2,1286.01,51
2023-06-29,Imprimante,4,1035.89,200
2023-09-01,Ordinateur,2,936.69,121
2023-08-29,Clavier,2,322.95,31
2023-11-04,Smartphone,4,609.86,193
2023-05-26,Casque,1,158.62,110
2023-06-05,Clavier,1,233.41,456
2023-08-29,Écran,1,715.24,118
2023-10-13,Souris,1,874.63,141
2023-09-29,Casque,3,1385.03,59
2023-06-09,Clavier,3,1444.08,282
2023-11-06,Imprimante,2,120.74,140
2023-08-23,Casque,2,325.06,347
2023-09-01,Ordinateur,1,773.2,442
2023-06-21,Clavier,3,629.22,500
2023-12-25,Ordinateur,4,215.73,350
2023-04-17,Souris,3,650.99,62
2023-02-24,Clavier,2,182.24,248
2023-04-12,Écran,1,178.11,38
2023-03-21,Smartphone,4,1389.52,448
2023-09-16,Ordinateur,1,396.91,368
2023-09-17,Smartphone,2,721.64,357
2023-01-12,Clavier,2,379.74,281
2023-09-10,Écran,3,530.06,208
2023-01-24,Ordinateur,2,1167.68,125
2023-09-22,Imprimante,2,1016.17,18
2023-09-29,Clavier,2,612.62,110
2023-05-26,Souris,2,283.51,119
2023-08-29,Imprimante,1,433.09,17
2023-12-04,Écran,3,424.74,182
2023-03-10,Imprimante,3,1348.38,435
2023-06-27,Écran,1,483.57,186
2023-05-14,Ordinateur,1,321.6,82
2023-02-20,Smartphone,1,372.76,22
2023-10-27,Clavier,3,1318.21,343
2023-11-20,Souris,4,1350.19,487
2023-10-30,Écran,2,185.03,432
2023-01-24,Imprimante,1,320.02,456
2023-02-09,Imprimante,1,960.6,2
2023-02-24,Souris,4,72.79,321
2023-07-26,Imprimante,1,248.47,228
2023-12-07,Écran,2,892.98,215
2023-03-22,Clavier,3,1264.42,322
2023-01-25,Smartphone,2,99.35,430
2023-11-13,Imprimante,1,1248.51,148
2023-05-27,Smartphone,3,1082.35,447
2023-03-27,Clavier,3,63.48,369
2023-05-04,Écran,2,407.33,383
2023-05-11,Écran,3,240.93,477
2023-11-17,Écran,1,447.67,127
2023-09-07,Imprimante,1,16.96,388
2023-11-10,Écran,3,163.86,188
2023-03-19,Souris,2,1440.09,360
2023-03-31,Ordinateur,4,911.87,250
2023-11-05,Clavier,2,826.77,428
2023-07-19,Imprimante,4,1346.89,233
2023-10-12,Casque,3,758.39,358
2023-07-11,Écran,4,105.81,134
2023-11-22,Imprimante,4,1352.41,470
2023-02-08,Clavier,4,1153.72,307
2023-11-29,Écran,3,629.63,50
2023-12-19,Smartphone,1,595.86,416
2023-11-10,Clavier,3,852.61,306
2023-07-31,Souris,3,1009.34,76
2023-12-30,Ordinateur,3,1196.98,418
2023-04-04,Casque,4,1187.6,205
2023-09-05,Écran,3,1331.85,419
2023-02-02,Casque,3,1486.11,162
2023-07-24,Écran,4,1475.67,293
2023-05-05,Smartphone,1,245.97,278
2023-08-13,Écran,3,714.28,437
