order_id,customer_id,product_id,quantity,total_amount,order_date
1,822,195,1,519.29,2023-01-01 00:00:00
2,154,27,7,1561.13,2023-01-01 01:00:00
3,887,336,5,1222.34,2023-01-01 02:00:00
4,933,436,1,494.58,2023-01-01 03:00:00
5,905,463,4,516.64,2023-01-01 04:00:00
6,881,134,3,1735.53,2023-01-01 05:00:00
7,295,318,9,1130.6,2023-01-01 06:00:00
8,959,425,7,1753.93,2023-01-01 07:00:00
9,16,239,5,904.0,2023-01-01 08:00:00
10,344,153,3,1340.19,2023-01-01 09:00:00
11,383,411,5,454.27,2023-01-01 10:00:00
12,468,451,1,917.86,2023-01-01 11:00:00
13,6,376,7,1843.35,2023-01-01 12:00:00
14,889,375,8,1528.23,2023-01-01 13:00:00
15,505,455,9,381.09,2023-01-01 14:00:00
16,707,251,8,921.67,2023-01-01 15:00:00
17,552,423,7,36.42,2023-01-01 16:00:00
18,571,303,1,1465.9,2023-01-01 17:00:00
19,37,448,7,785.43,2023-01-01 18:00:00
20,625,442,9,1213.34,2023-01-01 19:00:00
21,424,423,4,1802.67,2023-01-01 20:00:00
22,252,344,7,1840.68,2023-01-01 21:00:00
23,780,222,4,1344.46,2023-01-01 22:00:00
24,813,477,1,1943.42,2023-01-01 23:00:00
25,9,476,3,304.59,2023-01-02 00:00:00
26,441,56,9,1054.11,2023-01-02 01:00:00
27,912,226,3,1863.0,2023-01-02 02:00:00
28,952,386,2,1117.43,2023-01-02 03:00:00
29,58,280,4,1026.6,2023-01-02 04:00:00
30,225,302,1,1099.65,2023-01-02 05:00:00
31,603,21,4,1408.56,2023-01-02 06:00:00
32,708,197,2,643.06,2023-01-02 07:00:00
33,127,71,9,1989.63,2023-01-02 08:00:00
34,98,387,8,234.17,2023-01-02 09:00:00
35,501,37,7,1296.02,2023-01-02 10:00:00
36,747,339,7,1810.6,2023-01-02 11:00:00
37,477,354,1,1005.45,2023-01-02 12:00:00
38,759,27,3,452.57,2023-01-02 13:00:00
39,152,422,7,1900.97,2023-01-02 14:00:00
40,421,106,2,267.78,2023-01-02 15:00:00
41,722,375,9,955.11,2023-01-02 16:00:00
42,420,107,7,63.66,2023-01-02 17:00:00
43,378,319,8,921.82,2023-01-02 18:00:00
44,488,299,2,329.86,2023-01-02 19:00:00
45,488,62,8,1645.35,2023-01-02 20:00:00
46,947,374,4,310.11,2023-01-02 21:00:00
47,187,296,4,1116.42,2023-01-02 22:00:00
48,322,451,4,987.96,2023-01-02 23:00:00
49,452,344,1,85.3,2023-01-03 00:00:00
50,793,96,2,405.49,2023-01-03 01:00:00
51,32,467,6,1528.29,2023-01-03 02:00:00
52,289,211,9,1379.18,2023-01-03 03:00:00
53,635,137,8,1452.41,2023-01-03 04:00:00
54,738,293,9,1179.01,2023-01-03 05:00:00
55,870,396,5,828.68,2023-01-03 06:00:00
56,765,189,6,188.33,2023-01-03 07:00:00
57,871,39,9,1391.96,2023-01-03 08:00:00
58,283,347,2,540.32,2023-01-03 09:00:00
59,924,155,7,1654.45,2023-01-03 10:00:00
60,816,153,9,78.76,2023-01-03 11:00:00
61,58,252,8,1439.28,2023-01-03 12:00:00
62,481,249,3,1442.64,2023-01-03 13:00:00
63,599,59,2,1022.63,2023-01-03 14:00:00
64,728,35,3,1346.44,2023-01-03 15:00:00
65,862,346,1,1472.29,2023-01-03 16:00:00
66,892,28,4,263.37,2023-01-03 17:00:00
67,665,334,2,970.42,2023-01-03 18:00:00
68,707,351,2,1097.31,2023-01-03 19:00:00
69,832,482,7,1930.26,2023-01-03 20:00:00
70,821,382,6,1841.74,2023-01-03 21:00:00
71,127,484,2,1620.89,2023-01-03 22:00:00
72,791,430,4,438.35,2023-01-03 23:00:00
73,645,218,7,229.77,2023-01-04 00:00:00
74,35,117,9,1269.72,2023-01-04 01:00:00
75,511,410,9,905.8,2023-01-04 02:00:00
76,862,364,7,97.03,2023-01-04 03:00:00
77,129,94,3,20.82,2023-01-04 04:00:00
78,105,267,5,1854.21,2023-01-04 05:00:00
79,84,493,5,1586.52,2023-01-04 06:00:00
80,332,351,6,1916.16,2023-01-04 07:00:00
81,168,17,2,305.09,2023-01-04 08:00:00
82,641,297,1,486.6,2023-01-04 09:00:00
83,380,251,3,471.96,2023-01-04 10:00:00
84,975,64,4,59.49,2023-01-04 11:00:00
85,792,104,1,206.33,2023-01-04 12:00:00
86,367,187,9,1851.64,2023-01-04 13:00:00
87,543,257,8,716.22,2023-01-04 14:00:00
88,461,452,8,1507.6,2023-01-04 15:00:00
89,392,243,3,775.32,2023-01-04 16:00:00
90,41,113,1,1721.01,2023-01-04 17:00:00
91,740,496,8,1882.99,2023-01-04 18:00:00
92,774,320,4,1726.8,2023-01-04 19:00:00
93,274,350,5,357.15,2023-01-04 20:00:00
94,914,379,9,1983.19,2023-01-04 21:00:00
95,181,15,1,585.2,2023-01-04 22:00:00
96,14,79,7,206.9,2023-01-04 23:00:00
97,726,366,8,401.69,2023-01-05 00:00:00
98,639,134,1,196.61,2023-01-05 01:00:00
99,205,302,1,293.79,2023-01-05 02:00:00
100,976,300,8,1253.82,2023-01-05 03:00:00
101,636,226,6,524.77,2023-01-05 04:00:00
102,60,164,1,661.49,2023-01-05 05:00:00
103,490,46,5,424.43,2023-01-05 06:00:00
104,622,464,5,1643.26,2023-01-05 07:00:00
105,384,117,7,1759.78,2023-01-05 08:00:00
106,895,343,1,1163.27,2023-01-05 09:00:00
107,427,12,5,772.53,2023-01-05 10:00:00
108,273,168,7,1411.01,2023-01-05 11:00:00
109,117,184,1,162.53,2023-01-05 12:00:00
110,231,327,3,116.66,2023-01-05 13:00:00
111,708,255,8,1452.88,2023-01-05 14:00:00
112,685,64,8,378.49,2023-01-05 15:00:00
113,371,9,9,665.5,2023-01-05 16:00:00
114,220,118,4,1414.74,2023-01-05 17:00:00
115,402,365,4,1479.42,2023-01-05 18:00:00
116,20,392,8,799.06,2023-01-05 19:00:00
117,487,447,1,124.61,2023-01-05 20:00:00
118,681,102,1,292.37,2023-01-05 21:00:00
119,206,337,2,1336.57,2023-01-05 22:00:00
120,974,128,1,935.2,2023-01-05 23:00:00
121,456,160,2,653.62,2023-01-06 00:00:00
122,655,351,4,1822.28,2023-01-06 01:00:00
123,566,32,5,1962.6,2023-01-06 02:00:00
124,167,323,7,1408.45,2023-01-06 03:00:00
125,657,475,4,1017.73,2023-01-06 04:00:00
126,661,328,2,326.49,2023-01-06 05:00:00
127,439,168,7,839.99,2023-01-06 06:00:00
128,617,235,4,1748.91,2023-01-06 07:00:00
129,198,341,2,629.28,2023-01-06 08:00:00
130,111,465,2,304.48,2023-01-06 09:00:00
131,327,486,7,1486.32,2023-01-06 10:00:00
132,944,224,8,959.87,2023-01-06 11:00:00
133,204,340,3,1559.97,2023-01-06 12:00:00
134,458,273,3,1148.54,2023-01-06 13:00:00
135,54,43,1,1893.17,2023-01-06 14:00:00
136,522,209,9,808.39,2023-01-06 15:00:00
137,692,123,8,659.14,2023-01-06 16:00:00
138,143,494,7,656.64,2023-01-06 17:00:00
139,153,429,2,391.29,2023-01-06 18:00:00
140,179,191,5,1845.33,2023-01-06 19:00:00
141,362,473,8,1974.5,2023-01-06 20:00:00
142,510,344,7,602.9,2023-01-06 21:00:00
143,355,163,4,1599.54,2023-01-06 22:00:00
144,826,227,3,1834.36,2023-01-06 23:00:00
145,326,259,7,477.64,2023-01-07 00:00:00
146,692,407,7,1382.46,2023-01-07 01:00:00
147,966,467,7,459.77,2023-01-07 02:00:00
148,869,370,2,1531.15,2023-01-07 03:00:00
149,967,168,6,455.0,2023-01-07 04:00:00
150,849,470,8,1059.28,2023-01-07 05:00:00
151,898,68,2,1157.98,2023-01-07 06:00:00
152,427,350,1,1188.69,2023-01-07 07:00:00
153,86,245,4,1529.14,2023-01-07 08:00:00
154,832,267,7,269.38,2023-01-07 09:00:00
155,227,97,6,888.12,2023-01-07 10:00:00
156,265,253,2,1859.41,2023-01-07 11:00:00
157,568,471,9,682.61,2023-01-07 12:00:00
158,550,3,2,518.83,2023-01-07 13:00:00
159,637,364,9,416.37,2023-01-07 14:00:00
160,240,9,8,234.24,2023-01-07 15:00:00
161,855,189,5,1523.78,2023-01-07 16:00:00
162,257,381,2,471.62,2023-01-07 17:00:00
163,892,483,1,1426.15,2023-01-07 18:00:00
164,770,227,6,607.21,2023-01-07 19:00:00
165,116,21,7,1097.29,2023-01-07 20:00:00
166,428,401,7,404.32,2023-01-07 21:00:00
167,936,183,8,41.86,2023-01-07 22:00:00
168,660,63,9,1443.55,2023-01-07 23:00:00
169,170,176,2,1605.78,2023-01-08 00:00:00
170,184,75,5,598.24,2023-01-08 01:00:00
171,425,340,6,688.97,2023-01-08 02:00:00
172,334,315,6,1149.58,2023-01-08 03:00:00
173,510,242,9,729.59,2023-01-08 04:00:00
174,22,401,4,677.21,2023-01-08 05:00:00
175,120,85,5,1025.02,2023-01-08 06:00:00
176,491,248,5,1603.24,2023-01-08 07:00:00
177,120,128,2,709.29,2023-01-08 08:00:00
178,216,196,3,844.6,2023-01-08 09:00:00
179,899,391,8,1493.5,2023-01-08 10:00:00
180,931,48,7,1974.15,2023-01-08 11:00:00
181,495,189,5,1472.41,2023-01-08 12:00:00
182,500,213,5,625.57,2023-01-08 13:00:00
183,325,440,8,306.86,2023-01-08 14:00:00
184,180,461,2,1817.56,2023-01-08 15:00:00
185,508,12,4,185.52,2023-01-08 16:00:00
186,719,287,2,858.96,2023-01-08 17:00:00
187,771,288,8,631.89,2023-01-08 18:00:00
188,27,453,1,1121.85,2023-01-08 19:00:00
189,392,14,4,1409.28,2023-01-08 20:00:00
190,285,399,2,1668.09,2023-01-08 21:00:00
191,930,207,3,1164.45,2023-01-08 22:00:00
192,244,224,8,900.45,2023-01-08 23:00:00
193,783,358,5,1730.1,2023-01-09 00:00:00
194,946,181,4,172.81,2023-01-09 01:00:00
195,43,446,8,1297.18,2023-01-09 02:00:00
196,377,391,2,1450.62,2023-01-09 03:00:00
197,112,377,9,983.45,2023-01-09 04:00:00
198,759,262,8,1915.63,2023-01-09 05:00:00
199,935,87,3,729.66,2023-01-09 06:00:00
200,780,42,4,1672.1,2023-01-09 07:00:00
201,559,245,1,295.4,2023-01-09 08:00:00
202,384,437,4,235.75,2023-01-09 09:00:00
203,498,314,4,762.39,2023-01-09 10:00:00
204,828,140,5,794.05,2023-01-09 11:00:00
205,578,189,4,351.72,2023-01-09 12:00:00
206,660,63,4,58.5,2023-01-09 13:00:00
207,668,41,1,1334.55,2023-01-09 14:00:00
208,279,240,2,1110.91,2023-01-09 15:00:00
209,393,477,7,1531.13,2023-01-09 16:00:00
210,486,107,6,1875.92,2023-01-09 17:00:00
211,533,383,4,440.47,2023-01-09 18:00:00
212,946,471,1,1920.92,2023-01-09 19:00:00
213,388,402,7,1079.65,2023-01-09 20:00:00
214,518,428,2,598.73,2023-01-09 21:00:00
215,159,487,4,1348.53,2023-01-09 22:00:00
216,180,241,7,849.61,2023-01-09 23:00:00
217,992,320,8,303.41,2023-01-10 00:00:00
218,178,442,2,294.73,2023-01-10 01:00:00
219,825,38,9,1915.13,2023-01-10 02:00:00
220,211,238,6,1658.99,2023-01-10 03:00:00
221,304,214,3,64.06,2023-01-10 04:00:00
222,700,10,3,498.3,2023-01-10 05:00:00
223,1,474,6,1732.23,2023-01-10 06:00:00
224,796,73,4,765.88,2023-01-10 07:00:00
225,277,338,5,1185.97,2023-01-10 08:00:00
226,386,50,5,1984.61,2023-01-10 09:00:00
227,865,224,1,1164.91,2023-01-10 10:00:00
228,51,34,3,924.18,2023-01-10 11:00:00
229,696,401,9,1969.72,2023-01-10 12:00:00
230,250,21,9,984.93,2023-01-10 13:00:00
231,13,154,1,211.52,2023-01-10 14:00:00
232,717,112,2,1132.95,2023-01-10 15:00:00
233,895,358,9,1246.77,2023-01-10 16:00:00
234,903,167,7,1365.26,2023-01-10 17:00:00
235,694,206,2,1285.15,2023-01-10 18:00:00
236,723,275,3,1832.96,2023-01-10 19:00:00
237,443,465,2,1319.81,2023-01-10 20:00:00
238,100,438,9,1498.36,2023-01-10 21:00:00
239,711,475,1,884.12,2023-01-10 22:00:00
240,73,19,9,928.94,2023-01-10 23:00:00
241,949,217,7,134.05,2023-01-11 00:00:00
242,209,332,9,1577.52,2023-01-11 01:00:00
243,317,141,1,1577.86,2023-01-11 02:00:00
244,440,303,6,1661.95,2023-01-11 03:00:00
245,801,106,9,1637.13,2023-01-11 04:00:00
246,821,399,2,1911.29,2023-01-11 05:00:00
247,686,25,5,1553.27,2023-01-11 06:00:00
248,283,319,9,521.47,2023-01-11 07:00:00
249,974,83,4,891.58,2023-01-11 08:00:00
250,832,495,9,1040.57,2023-01-11 09:00:00
251,408,223,6,271.48,2023-01-11 10:00:00
252,409,449,2,512.53,2023-01-11 11:00:00
253,990,190,2,644.43,2023-01-11 12:00:00
254,537,268,8,312.3,2023-01-11 13:00:00
255,513,23,6,97.45,2023-01-11 14:00:00
256,928,442,8,590.95,2023-01-11 15:00:00
257,114,453,1,1222.16,2023-01-11 16:00:00
258,902,227,6,766.25,2023-01-11 17:00:00
259,618,161,3,1325.93,2023-01-11 18:00:00
260,902,221,5,1502.72,2023-01-11 19:00:00
261,377,304,7,622.43,2023-01-11 20:00:00
262,192,258,3,1585.76,2023-01-11 21:00:00
263,464,278,8,1573.19,2023-01-11 22:00:00
264,520,434,1,665.41,2023-01-11 23:00:00
265,913,175,4,817.68,2023-01-12 00:00:00
266,384,446,6,1908.06,2023-01-12 01:00:00
267,570,203,2,585.19,2023-01-12 02:00:00
268,926,483,4,1592.69,2023-01-12 03:00:00
269,116,363,3,1423.64,2023-01-12 04:00:00
270,422,217,2,269.32,2023-01-12 05:00:00
271,790,51,9,41.2,2023-01-12 06:00:00
272,703,418,3,1405.15,2023-01-12 07:00:00
273,679,233,8,517.59,2023-01-12 08:00:00
274,98,115,4,366.33,2023-01-12 09:00:00
275,153,438,5,1088.91,2023-01-12 10:00:00
276,713,426,9,224.09,2023-01-12 11:00:00
277,582,86,3,571.53,2023-01-12 12:00:00
278,425,274,3,21.01,2023-01-12 13:00:00
279,472,296,1,668.45,2023-01-12 14:00:00
280,600,370,2,1454.9,2023-01-12 15:00:00
281,73,129,4,248.78,2023-01-12 16:00:00
282,80,117,7,753.86,2023-01-12 17:00:00
283,746,21,6,35.32,2023-01-12 18:00:00
284,370,177,1,1603.65,2023-01-12 19:00:00
285,854,156,2,319.69,2023-01-12 20:00:00
286,29,78,2,52.17,2023-01-12 21:00:00
287,478,205,9,573.69,2023-01-12 22:00:00
288,818,17,2,875.71,2023-01-12 23:00:00
289,498,281,1,396.58,2023-01-13 00:00:00
290,331,314,8,290.16,2023-01-13 01:00:00
291,397,25,7,1971.85,2023-01-13 02:00:00
292,357,428,9,588.88,2023-01-13 03:00:00
293,404,57,8,988.42,2023-01-13 04:00:00
294,812,149,6,351.42,2023-01-13 05:00:00
295,121,412,1,1792.77,2023-01-13 06:00:00
296,202,317,7,682.13,2023-01-13 07:00:00
297,192,442,8,630.34,2023-01-13 08:00:00
298,894,324,7,1548.32,2023-01-13 09:00:00
299,430,149,5,1958.5,2023-01-13 10:00:00
300,178,33,1,1948.3,2023-01-13 11:00:00
301,510,120,9,629.4,2023-01-13 12:00:00
302,733,156,8,1595.1,2023-01-13 13:00:00
303,847,434,9,708.9,2023-01-13 14:00:00
304,734,207,2,1247.06,2023-01-13 15:00:00
305,89,498,5,605.74,2023-01-13 16:00:00
306,733,332,6,1990.6,2023-01-13 17:00:00
307,842,134,6,1000.97,2023-01-13 18:00:00
308,584,370,2,694.25,2023-01-13 19:00:00
309,891,494,8,1021.27,2023-01-13 20:00:00
310,151,220,8,68.15,2023-01-13 21:00:00
311,952,236,3,33.75,2023-01-13 22:00:00
312,380,225,5,1289.48,2023-01-13 23:00:00
313,33,291,3,1050.87,2023-01-14 00:00:00
314,551,485,4,550.29,2023-01-14 01:00:00
315,346,263,8,1672.77,2023-01-14 02:00:00
316,544,7,2,1763.52,2023-01-14 03:00:00
317,132,360,5,1846.45,2023-01-14 04:00:00
318,752,388,3,951.68,2023-01-14 05:00:00
319,897,105,3,254.93,2023-01-14 06:00:00
320,217,6,9,1889.19,2023-01-14 07:00:00
321,108,173,2,1483.22,2023-01-14 08:00:00
322,438,384,9,482.16,2023-01-14 09:00:00
323,720,400,9,84.65,2023-01-14 10:00:00
324,210,390,4,1419.16,2023-01-14 11:00:00
325,579,47,5,492.46,2023-01-14 12:00:00
326,7,317,8,1703.39,2023-01-14 13:00:00
327,693,195,6,1199.59,2023-01-14 14:00:00
328,34,375,4,1734.5,2023-01-14 15:00:00
329,108,354,9,928.3,2023-01-14 16:00:00
330,150,298,8,763.03,2023-01-14 17:00:00
331,764,494,2,383.13,2023-01-14 18:00:00
332,226,56,5,1063.21,2023-01-14 19:00:00
333,166,21,3,114.92,2023-01-14 20:00:00
334,822,6,7,1882.36,2023-01-14 21:00:00
335,984,153,5,721.59,2023-01-14 22:00:00
336,481,293,8,119.89,2023-01-14 23:00:00
337,648,104,9,810.19,2023-01-15 00:00:00
338,581,186,2,1682.31,2023-01-15 01:00:00
339,633,141,8,1248.03,2023-01-15 02:00:00
340,14,401,2,518.79,2023-01-15 03:00:00
341,421,472,3,173.82,2023-01-15 04:00:00
342,74,301,1,1025.51,2023-01-15 05:00:00
343,787,56,9,483.78,2023-01-15 06:00:00
344,627,36,1,659.55,2023-01-15 07:00:00
345,251,321,4,1223.46,2023-01-15 08:00:00
346,651,208,5,1780.67,2023-01-15 09:00:00
347,190,462,5,302.74,2023-01-15 10:00:00
348,815,349,9,1762.17,2023-01-15 11:00:00
349,443,224,3,630.29,2023-01-15 12:00:00
350,46,47,4,1354.91,2023-01-15 13:00:00
351,808,313,7,1067.66,2023-01-15 14:00:00
352,657,171,4,175.09,2023-01-15 15:00:00
353,857,444,1,454.46,2023-01-15 16:00:00
354,997,233,9,696.09,2023-01-15 17:00:00
355,499,245,5,1921.79,2023-01-15 18:00:00
356,912,216,9,1174.61,2023-01-15 19:00:00
357,737,268,1,1603.85,2023-01-15 20:00:00
358,44,148,2,83.97,2023-01-15 21:00:00
359,35,469,3,12.74,2023-01-15 22:00:00
360,253,170,4,1551.88,2023-01-15 23:00:00
361,328,213,8,1220.3,2023-01-16 00:00:00
362,96,162,4,141.57,2023-01-16 01:00:00
363,916,456,8,1784.32,2023-01-16 02:00:00
364,375,44,3,1268.9,2023-01-16 03:00:00
365,518,262,2,1590.74,2023-01-16 04:00:00
366,512,82,9,1257.35,2023-01-16 05:00:00
367,746,438,2,966.22,2023-01-16 06:00:00
368,382,241,6,416.56,2023-01-16 07:00:00
369,771,436,5,1491.94,2023-01-16 08:00:00
370,905,113,8,1788.38,2023-01-16 09:00:00
371,173,325,5,942.84,2023-01-16 10:00:00
372,155,79,5,1855.55,2023-01-16 11:00:00
373,634,405,8,870.98,2023-01-16 12:00:00
374,629,397,2,1284.86,2023-01-16 13:00:00
375,93,408,7,532.36,2023-01-16 14:00:00
376,375,322,3,1264.08,2023-01-16 15:00:00
